grid,driver_number,GapToPole_ms,FP_Best_LapTime_s,FP_Rank,Driver_Championship_Points,Constructor_Championship_Points,Driver_DNF_Count_Season,Driver_Circuit_History_AvgPos,year_weight,team_Alfa Romeo Ferrari,team_Alfa Romeo Racing Ferrari,team_AlphaTauri Honda,team_AlphaTauri Honda RBPT,team_AlphaTauri RBPT,team_Alpine Renault,team_Aston Martin Aramco Mercedes,team_Aston Martin Mercedes,team_Ferrari,team_Haas Ferrari,team_Kick Sauber Ferrari,team_McLaren Mercedes,team_McLaren Renault,team_Mercedes,team_RB Honda RBPT,team_Racing Bulls Honda RBPT,team_Racing Point BWT Mercedes,team_Red Bull Racing Honda,team_Red Bull Racing Honda RBPT,team_Red Bull Racing RBPT,team_Renault,team_Williams Mercedes,race_name_COM MIAMI,race_name_EMILIA ROMAGNA,race_name_EMILIA-ROMAGNA,race_name_EMIRATES FORMULA 1 70TH ANNIVERSARY,race_name_FORMULA 1 ARAMCO BRITISH,race_name_FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA,race_name_FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL,race_name_FORMULA 1 ARAMCO MAGYAR NAGYDÍJ,race_name_FORMULA 1 ARAMCO UNITED STATES,race_name_FORMULA 1 AWS GRAN PREMIO DE ESPAÑA,race_name_FORMULA 1 AWS GRAND PRIX DU CANADA,race_name_FORMULA 1 AZERBAIJAN,race_name_FORMULA 1 BWT GROSSER PREIS DER STEIERMARK,race_name_FORMULA 1 BWT GROSSER PREIS VON ÖSTERREICH,race_name_FORMULA 1 DHL TURKISH,race_name_FORMULA 1 EMIRATES GRAND PRIX DE FRANCE,race_name_FORMULA 1 ETIHAD AIRWAYS ABU DHABI,race_name_FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO,race_name_FORMULA 1 GRAND PRIX DE MONACO,race_name_FORMULA 1 GULF AIR BAHRAIN,race_name_FORMULA 1 HEINEKEN AUSTRALIAN,race_name_FORMULA 1 HEINEKEN CHINESE,race_name_FORMULA 1 HEINEKEN DUTCH,race_name_FORMULA 1 HEINEKEN GRAN PREMIO DE LA CIUDAD DE MÉXICO,race_name_FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL,race_name_FORMULA 1 HEINEKEN GRANDE PRÊMIO DE SÃO PAULO,race_name_FORMULA 1 HEINEKEN SILVER LAS VEGAS,race_name_FORMULA 1 HONDA JAPANESE,race_name_FORMULA 1 HUNGARIAN,race_name_FORMULA 1 LENOVO BRITISH,race_name_FORMULA 1 LENOVO CHINESE,race_name_FORMULA 1 LENOVO GRAND PRIX DE FRANCE,race_name_FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO,race_name_FORMULA 1 LENOVO JAPANESE,race_name_FORMULA 1 LENOVO UNITED STATES,race_name_FORMULA 1 LOUIS VUITTON AUSTRALIAN,race_name_FORMULA 1 MSC CRUISES BELGIAN,race_name_FORMULA 1 MSC CRUISES JAPANESE,race_name_FORMULA 1 PIRELLI BRITISH,race_name_FORMULA 1 PIRELLI GRAN PREMIO DE ESPAÑA,race_name_FORMULA 1 PIRELLI GRAND PRIX DU CANADA,race_name_FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK,race_name_FORMULA 1 PIRELLI UNITED STATES,race_name_FORMULA 1 QATAR AIRWAYS AUSTRIAN,race_name_FORMULA 1 QATAR AIRWAYS AZERBAIJAN,race_name_FORMULA 1 QATAR AIRWAYS BRITISH,race_name_FORMULA 1 QATAR AIRWAYS HUNGARIAN,race_name_FORMULA 1 QATAR AIRWAYS QATAR,race_name_FORMULA 1 ROLEX AUSTRALIAN,race_name_FORMULA 1 ROLEX BELGIAN,race_name_FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO,race_name_FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH,race_name_FORMULA 1 ROLEX MAGYAR NAGYDÍJ,race_name_FORMULA 1 ROLEX SAKHIR,race_name_FORMULA 1 ROLEX TURKISH,race_name_FORMULA 1 SINGAPORE AIRLINES SINGAPORE,race_name_FORMULA 1 STC SAUDI ARABIAN,race_name_FORMULA 1 TAG HEUER GRAND PRIX DE MONACO,race_name_FORMULA 1 VTB RUSSIAN,race_name_ITALIA,TARGET_position
20.0,6,2818.0,66.906,20.0,0.0,0.0,0.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11.0
13.0,26,1492.0,65.29,14.0,0.0,0.0,0.0,20.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,12.0
4.0,23,807.0,64.725,6.0,0.0,0.0,0.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,13.0
1.0,44,0.0,64.348,6.0,12.0,37.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
4.0,77,832.0,63.703,2.0,25.0,37.0,0.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0
2.0,33,113.0,63.66,1.0,0.0,0.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0
6.0,23,1189.0,64.437,7.0,0.0,0.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0
9.0,4,623.0,64.541,8.0,16.0,26.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0
17.0,11,3782.0,63.877,3.0,8.0,8.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0
12.0,18,1820.0,64.241,4.0,0.0,8.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0
8.0,3,1404.0,65.769,18.0,0.0,4.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0
3.0,55,765.0,64.333,5.0,10.0,26.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.0
13.0,26,1892.0,65.05,12.0,0.0,6.0,1.0,20.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0
16.0,7,3547.0,65.152,13.0,0.0,2.0,1.0,20.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.0
15.0,20,2386.0,65.79,19.0,0.0,0.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.0
,8,0.0,66.096,20.0,0.0,0.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.0
19.0,99,4006.0,65.365,14.0,2.0,2.0,1.0,20.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.0
7.0,10,919.0,64.757,11.0,6.0,6.0,1.0,20.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.0
11.0,63,1811.0,65.588,15.0,0.0,0.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.0
18.0,6,3934.0,65.655,17.0,0.0,0.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17.0
1.0,44,0.0,75.479,2.0,37.0,80.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
7.0,33,1402.0,76.084,6.0,15.0,27.0,2.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0
2.0,77,107.0,75.437,1.0,43.0,80.0,1.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0
3.0,18,930.0,76.033,5.0,6.0,22.0,2.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0
13.0,23,2268.0,76.582,12.0,12.0,27.0,2.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0
5.0,5,1327.0,76.351,8.0,1.0,19.0,2.0,20.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0
4.0,11,1098.0,75.598,3.0,16.0,22.0,2.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0
11.0,3,2214.0,76.508,10.0,4.0,8.0,2.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0
9.0,55,1580.0,76.545,11.0,13.0,39.0,2.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.0
16.0,20,2705.0,77.086,16.0,0.0,0.0,2.0,20.0,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0
6.0,16,1370.0,75.781,4.0,18.0,19.0,2.0,20.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.0
17.0,26,2757.0,77.292,17.0,1.0,7.0,2.0,20.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.0
8.0,4,1519.0,76.193,7.0,26.0,39.0,2.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.0
14.0,31,2272.0,76.706,13.0,4.0,8.0,2.0,20.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.0
20.0,7,3167.0,77.527,19.0,0.0,2.0,2.0,20.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.0
18.0,8,2960.0,76.866,15.0,0.0,0.0,2.0,20.0,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.0
